exame,materia,assunto,imagem_questao,resposta_correta
ENEM,Linguagens,Inglês,data/imagens/enem/linguagensCodigos/Q01.png,B
ENEM,Linguagens,Inglês,data/imagens/enem/linguagensCodigos/Q02.png,B
ENEM,Linguagens,Inglês,data/imagens/enem/linguagensCodigos/Q03.png,D
ENEM,Linguagens,Inglês,data/imagens/enem/linguagensCodigos/Q04.png,E
ENEM,Linguagens,Inglês,data/imagens/enem/linguagensCodigos/Q05.png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q06.png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q07.png;data/imagens/enem/linguagensCodigos/Q07(2).png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q08.png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q09.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q10.png,A
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q11.png;data/imagens/enem/linguagensCodigos/Q11(2).png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q12.png,D
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q13.png;data/imagens/enem/linguagensCodigos/Q13(2).png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q14.png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q15.png,D
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q16.png,A
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q17.png;data/imagens/enem/linguagensCodigos/Q17(2).png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q18.png,D
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q19.png,D
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q20.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q21.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q22.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q23.png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q24.png;data/imagens/enem/linguagensCodigos/Q24(2).png,A
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q25.png;data/imagens/enem/linguagensCodigos/Q25(2).png,D
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q26.png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q27.png;data/imagens/enem/linguagensCodigos/Q27(2).png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q28.png,A
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q29.png;data/imagens/enem/linguagensCodigos/Q29(2).png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q30.png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q31.png,D
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q32.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q33.png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q34.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q35.png,A
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q36.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q37.png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q38.png,B
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q39.png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q40.png,A
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q41.png;data/imagens/enem/linguagensCodigos/Q41(2).png,E
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q42.png,C
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q43.png,A
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q44.png;data/imagens/enem/linguagensCodigos/Q44(2).png,D
ENEM,Linguagens,Atualidades,data/imagens/enem/linguagensCodigos/Q45.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q46.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q47.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q48.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q49.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q50.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q51.png;data/imagens/enem/cienciasHumanas/Q51(2).png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q52.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q53.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q54.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q55.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q56.png;data/imagens/enem/cienciasHumanas/Q56(2).png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q57.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q58.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q59.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q60.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q61.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q62.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q63.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q64.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q65.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q66.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q67.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q68.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q69.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q70.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q71.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q72.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q73.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q74.png;data/imagens/enem/cienciasHumanas/Q74(2).png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q75.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q76.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q77.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q78.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q79.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q80.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q81.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q82.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q83.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q84.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q85.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q86.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q87.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q88.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q89.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q90.png,E